CMDLINE /Users/cconlon/anaconda3/bin/python3.7 2_Process_WRDS_Data.py
MEM 28633.839844 1593110544.4362
MEM 28633.839844 1593110544.5374
MEM 28633.839844 1593110544.6386
MEM 28633.839844 1593110544.7399
MEM 28633.839844 1593110544.8424
MEM 28633.839844 1593110544.9476
MEM 28633.839844 1593110545.0522
MEM 28633.839844 1593110545.1524
MEM 28633.839844 1593110545.2532
MEM 28633.839844 1593110545.3584
MEM 28633.839844 1593110545.4599
MEM 28633.839844 1593110545.5633
MEM 28633.828125 1593110545.6685
MEM 28633.828125 1593110545.7700
MEM 28633.828125 1593110545.8752
MEM 28633.828125 1593110545.9774
MEM 28633.828125 1593110546.0782
MEM 28633.828125 1593110546.1799
MEM 28633.828125 1593110546.2851
MEM 28633.828125 1593110546.3903
MEM 28633.828125 1593110546.4924
MEM 28633.828125 1593110546.5962
MEM 28633.828125 1593110546.7014
MEM 28633.828125 1593110546.8028
MEM 28633.828125 1593110546.9080
MEM 28633.828125 1593110547.0111
MEM 28633.828125 1593110547.1137
MEM 28633.828125 1593110547.2139
MEM 28633.828125 1593110547.3162
MEM 28633.828125 1593110547.4174
MEM 28633.828125 1593110547.5176
MEM 28633.828125 1593110547.6199
MEM 28633.828125 1593110547.7207
MEM 28633.828125 1593110547.8224
MEM 28633.828125 1593110547.9276
MEM 28633.828125 1593110548.0289
MEM 28633.828125 1593110548.1314
MEM 28633.828125 1593110548.2363
MEM 28633.828125 1593110548.3410
MEM 28633.828125 1593110548.4462
MEM 28633.828125 1593110548.5507
MEM 28633.828125 1593110548.6543
MEM 28633.828125 1593110548.7589
MEM 28633.828125 1593110548.8640
MEM 28633.828125 1593110548.9689
MEM 28633.828125 1593110549.0729
MEM 28633.828125 1593110549.1779
MEM 28633.828125 1593110549.2830
MEM 28633.828125 1593110549.3876
MEM 28633.828125 1593110549.4927
MEM 28633.828125 1593110549.5959
MEM 28633.808594 1593110549.6997
MEM 28633.808594 1593110549.8024
MEM 28633.808594 1593110549.9037
MEM 28633.808594 1593110550.0047
MEM 28633.808594 1593110550.1093
MEM 28633.808594 1593110550.2130
MEM 28633.808594 1593110550.3142
MEM 28633.808594 1593110550.4175
MEM 28633.808594 1593110550.5216
MEM 28633.808594 1593110550.6228
MEM 28633.808594 1593110550.7249
MEM 28633.808594 1593110550.8263
MEM 28633.808594 1593110550.9274
MEM 28633.808594 1593110551.0287
MEM 28633.808594 1593110551.1313
MEM 28633.808594 1593110551.2357
MEM 28633.808594 1593110551.3393
MEM 28633.808594 1593110551.4429
MEM 28633.808594 1593110551.5465
MEM 28633.808594 1593110551.6485
